id_cliente,fecha_registro,edad,genero,region,estado_civil,ingreso_mensual,gasto_mensual,deuda_total,score_crediticio,antiguedad_meses,frecuencia_compra,ultima_compra_dias,uso_app,tipo_plan,num_productos,tiene_tarjeta_credito,canal_registro,dia_semana_registro,hora_registro,codigo_postal,abandono
1,2021-10-27,66,Otro,Norte,Divorciado,924305.7472322333,524088.3030548673,2448144.59437761,455.40668039710147,101,6,356,Bajo,Estandar,3,1,Tienda,Lunes,22,3824,1
2,2018-08-25,51,Masculino,Centro,Soltero,1384686.8045063824,314259.7514738053,1620568.6493922418,575.0485081141376,65,8,307,Medio,Premium,4,1,App,Martes,10,4148,0
3,2019-05-25,48,Femenino,Norte,Casado,,387192.3161417584,5395039.790814385,770.7169035840194,1,12,232,Alto,Premium,4,1,App,Jueves,6,7200,0
4,2022-04-20,54,Masculino,Sur,Casado,436903.2135736404,417328.6018564141,2999349.52775631,442.72267096656435,4,3,165,Alto,Estandar,2,1,App,Domingo,16,1782,1
5,2020-03-19,31,Otro,Centro,Soltero,740856.0683665371,490961.1912529536,1637710.6682458203,468.18840289131265,14,5,283,Bajo,Estandar,3,1,Web,Martes,8,3448,1
6,2020-05-14,76,Masculino,Centro,Divorciado,824781.01908263,718394.7473319123,1828219.2030805112,719.8779860670375,41,12,294,Bajo,Basico,2,1,App,Sabado,17,9942,0
7,2018-12-28,35,Masculino,Norte,Soltero,278530.6529734169,525501.2301344653,2769057.9036099957,650.093652774354,25,18,349,Alto,Estandar,5,1,Web,Martes,9,8738,0
8,2021-10-25,51,Femenino,Sur,Divorciado,511850.59390730923,500820.4494351239,1457150.40897373,514.1981177431346,72,11,214,Alto,Basico,5,0,Web,Jueves,8,2360,1
9,2020-07-09,37,Otro,Norte,Soltero,,459129.61376721086,1501600.536786897,721.8226363645034,99,4,27,Alto,Basico,1,0,Tienda,Miercoles,18,6324,0
10,2019-12-25,44,Otro,Sur,Divorciado,480596.7946941346,483523.2298910325,907748.5954352545,522.3876319132593,66,12,217,Bajo,Premium,3,1,Tienda,Miercoles,8,1377,1
11,2021-10-09,61,Masculino,Sur,Soltero,521229.9754285976,132563.6470623153,3755524.294016918,407.50435079854566,118,3,11,Bajo,Premium,5,0,Tienda,Jueves,1,2314,0
12,2023-03-02,32,Otro,Centro,Soltero,725264.1071473432,731303.2720187269,1826564.87492691,848.5778229767061,58,11,224,Alto,Basico,2,1,Web,Domingo,19,7615,1
13,2018-04-05,27,Masculino,Centro,Soltero,1058150.4599643163,407984.3767985447,1819410.494051495,542.4644565558339,108,14,300,Alto,Estandar,3,0,Web,Sabado,19,9763,1
14,2018-08-30,41,Otro,Centro,Casado,714571.5946593273,366703.8427585428,2048595.1041301412,557.7918018489695,24,19,75,Alto,Premium,2,0,App,Domingo,7,4188,0
15,2022-01-23,65,Femenino,Norte,Casado,872990.9764299585,610561.1818951437,2654917.782618254,597.0513961280293,73,8,127,Alto,Premium,2,1,App,Sabado,22,6166,0
16,2022-08-19,43,Femenino,Sur,Divorciado,781830.7677884438,571943.665036608,2129768.2919417066,736.4705449111517,28,9,67,Bajo,Basico,3,1,Tienda,Lunes,20,5300,0
17,2020-12-29,69,Otro,Norte,Soltero,520533.3934566811,493344.6331472048,2832249.5291205347,709.2876043158116,72,11,205,Medio,Basico,3,0,App,Lunes,15,3981,0
18,2019-10-23,33,Masculino,Centro,Casado,621032.4158875039,489416.79706481885,3313026.7934718486,603.465703825982,38,11,177,Medio,Premium,4,1,Web,Viernes,13,4021,0
19,2023-06-22,71,Femenino,Sur,Soltero,498437.1939436826,401288.0715450101,1783149.1685282337,649.1516810879671,60,14,10,Alto,Basico,4,1,Tienda,Martes,4,7308,0
20,2022-08-15,69,Femenino,Centro,Divorciado,397263.71801094344,219341.74482044188,2387446.9696168974,747.902137884323,116,10,340,Bajo,Basico,2,1,App,Martes,12,2907,1
21,2018-11-17,66,Masculino,Centro,Casado,593779.3605953902,444435.0057947269,1876896.2507927225,669.162544076071,44,17,343,Bajo,Premium,2,0,Tienda,Viernes,15,1679,1
22,2018-06-14,50,Otro,Centro,Casado,839601.309261013,437604.74263174454,1866402.226938943,,20,13,128,Bajo,Basico,2,0,App,Miercoles,21,8566,0
23,2018-05-11,68,Masculino,Centro,Soltero,237196.2102688402,445604.733104147,1429368.971271249,631.1474738124615,41,8,320,Bajo,Basico,5,1,Web,Domingo,4,7957,0
24,2018-01-16,35,Otro,Sur,Casado,923606.0864164077,213792.19322423762,1913974.486862802,480.53669826977494,106,15,165,Bajo,Estandar,4,0,App,Miercoles,2,2167,1
25,2022-06-27,29,Otro,Centro,Casado,963692.9136078251,235409.81717326818,1868289.916169576,553.908873908952,23,4,110,Alto,Estandar,1,1,App,Martes,13,3542,0
26,2021-04-06,37,Masculino,Norte,Divorciado,438037.8133759434,452868.1022589777,2405092.5394304995,651.5947522078071,72,11,76,Medio,Estandar,3,1,App,Martes,16,2989,0
27,2019-04-25,25,Masculino,Norte,Casado,666848.8984806963,256509.98813193312,1906281.3480906282,677.3187318786752,42,3,57,Medio,Basico,5,0,App,Jueves,21,5150,1
28,2020-04-06,49,Femenino,Sur,Casado,577684.2915029947,261696.1011352195,3502163.8955834736,635.0699507871009,45,9,194,Bajo,Estandar,2,0,App,Martes,3,8213,0
29,2023-06-11,63,Otro,Sur,Casado,708459.8336791724,,2407016.0023788847,608.8653321246026,31,18,77,Bajo,Estandar,3,0,Tienda,Martes,10,4754,0
30,2020-07-17,46,Masculino,Centro,Soltero,1081897.607046109,420925.2860576884,1409554.1602880945,693.0862896720794,11,3,219,Bajo,Premium,5,1,Web,Viernes,14,8128,0
31,2020-11-01,45,Otro,Norte,Divorciado,618368.0123106779,343311.336665094,1362805.9942585228,696.8279131103476,40,14,168,Bajo,Estandar,3,0,Tienda,Viernes,12,4260,1
32,2019-06-21,39,Masculino,Sur,Casado,1042622.3435925003,526507.811274969,1833250.0792803322,489.6089368857242,28,6,103,Medio,Estandar,3,0,App,Lunes,15,9356,0
33,2020-10-24,39,Masculino,Norte,Divorciado,260565.90457514126,501964.52797643736,1844617.63704246,581.8051862462847,83,15,298,Alto,Basico,2,0,App,Lunes,12,4776,1
34,2021-11-04,53,Masculino,Norte,Casado,982791.0593320645,268104.76299285487,1824539.8233213979,532.1173384487014,84,12,4,Alto,Premium,1,1,Web,Jueves,18,9436,0
35,2021-12-25,47,Masculino,Norte,Casado,,552256.839483592,1515705.5420521977,553.6189671398162,76,3,94,Alto,Basico,1,0,Web,Miercoles,4,3687,1
36,2019-12-18,54,Femenino,Norte,Casado,,627565.094845257,2032157.120549721,420.6959199737721,44,18,10,Bajo,Estandar,2,1,App,Sabado,11,4442,1
37,2018-12-01,74,Otro,Norte,Casado,535101.3595688505,475849.08470814157,2537310.4928072216,708.3884911101092,24,10,177,Alto,Estandar,4,1,Web,Viernes,19,4556,0
38,2018-10-10,75,Femenino,Sur,Divorciado,318599.4233702727,238866.73156977774,1753459.6574316262,678.2198913228455,61,3,168,Bajo,Premium,1,1,App,Miercoles,6,7179,1
39,2022-03-30,75,Femenino,Sur,Soltero,434902.25810357614,457372.745854148,1709108.649135265,580.8877479059116,81,16,72,Medio,Premium,5,0,Tienda,Miercoles,7,4433,1
40,2019-10-25,74,Otro,Norte,Casado,800429.2154854331,387003.5121554971,1419417.7019677858,375.93430825846065,54,13,77,Bajo,Premium,3,0,Tienda,Sabado,18,4311,1
41,2021-05-14,65,Femenino,Centro,Soltero,860632.1892479376,608532.2360488914,1642953.1130456692,568.7459550721937,6,6,85,Bajo,Premium,4,0,Tienda,Viernes,20,4292,0
42,2018-10-07,68,Femenino,Norte,Casado,978422.4320960038,568277.8137687745,1461686.8735502015,496.10517415152106,66,14,54,Alto,Basico,3,1,App,Viernes,3,9652,1
43,2019-11-03,77,Otro,Norte,Divorciado,995854.3877548542,400127.64368112024,1914939.8124380198,512.4378977129159,39,4,66,Alto,Basico,3,1,App,Viernes,11,4495,0
44,2018-08-01,57,Femenino,Centro,Soltero,1124210.5052434325,518484.3590997511,1249048.3649387215,751.8484155909861,26,1,74,Alto,Premium,4,0,Web,Miercoles,18,3767,0
45,2020-02-06,46,Femenino,Sur,Casado,637660.8101447191,250724.36350680995,522429.82409584965,650.5667923092683,113,15,364,Bajo,Basico,5,1,Web,Domingo,9,8554,0
46,2022-11-24,54,Femenino,Norte,Divorciado,547362.0642353762,273201.3101877881,-8694.468175977934,473.4468960949976,22,7,191,Bajo,Premium,3,0,Tienda,Lunes,22,4291,1
47,2020-03-11,37,Masculino,Centro,Divorciado,679423.5215182693,673294.9721809144,2238090.3136270135,509.0351448834548,93,16,170,Medio,Premium,5,1,Web,Jueves,4,7914,0
48,2021-08-23,40,Otro,Sur,Casado,615022.6401487185,465828.3685172925,2429263.658805557,419.8054495855076,7,12,56,Bajo,Premium,3,0,Tienda,Miercoles,3,2498,1
49,2018-07-28,57,Otro,Norte,Soltero,1006732.6500734374,362189.3493039734,1351483.4159984337,635.5243901500891,38,18,335,Bajo,Premium,4,0,Web,Domingo,22,8124,0
50,2018-09-08,20,Otro,Centro,Casado,640230.6347275052,471979.2014020101,2978739.552860663,647.201952518391,76,1,259,Bajo,Estandar,1,0,App,Miercoles,13,6793,0
51,2018-03-08,67,Otro,Norte,Casado,1068815.7278515,233545.41661537427,2058717.717811495,833.6347782535141,94,11,341,Bajo,Estandar,4,1,Tienda,Domingo,2,8957,0
